geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2013-14,201437,4,2884,2888,47136,6.126951799,99.067875871
National,NA,NA,All,2013-14,201438,6,2999,3005,48222,6.2315955373,101.35037148
National,NA,NA,All,2013-14,201439,6,3025,3031,48517,6.2472947627,101.97038641
National,NA,NA,All,2014-15,201440,6,3082,3088,48454,6.3730548562,101.83797644
National,NA,NA,All,2014-15,201441,8,3156,3164,49498,6.3921774617,104.03219874
National,NA,NA,All,2014-15,201442,13,3103,3116,49422,6.3048844644,103.87246608
National,NA,NA,All,2014-15,201443,11,3219,3230,49244,6.5591747218,103.49835538
National,NA,NA,All,2014-15,201444,17,3164,3181,49188,6.4670244775,103.38065764
National,NA,NA,All,2014-15,201445,12,3212,3224,51207,6.2960142168,107.6240818
National,NA,NA,All,2014-15,201446,18,3251,3269,50731,6.4437917644,106.62365094
National,NA,NA,All,2014-15,201447,31,3394,3425,52717,6.4969554413,110.7977175
National,NA,NA,All,2014-15,201448,46,3431,3477,52077,6.6766518809,109.45260038
National,NA,NA,All,2014-15,201449,84,3640,3724,52970,7.030394563,111.32945912
National,NA,NA,All,2014-15,201450,170,3798,3968,53711,7.3876859489,112.88685253
National,NA,NA,All,2014-15,201451,314,4117,4431,54855,8.0776592836,115.29124938
National,NA,NA,All,2014-15,201452,519,4283,4802,56236,8.5390141546,118.19375992
National,NA,NA,All,2014-15,201453,1016,5043,6059,59451,10.191586348,124.9508717
National,NA,NA,All,2014-15,201501,1100,5577,6677,61776,10.808404558,129.83742999
National,NA,NA,All,2014-15,201502,983,5589,6572,61169,10.744004316,128.56167047
National,NA,NA,All,2014-15,201503,711,5184,5895,58657,10.049951412,123.28208577
National,NA,NA,All,2014-15,201504,586,4857,5443,57315,9.4966413679,120.46154331
National,NA,NA,All,2014-15,201505,484,4741,5225,57374,9.1069125388,120.5855463
National,NA,NA,All,2014-15,201506,405,4584,4989,56657,8.8056197822,119.07859477
National,NA,NA,All,2014-15,201507,286,4501,4787,56678,8.4459578673,119.12273143
National,NA,NA,All,2014-15,201508,221,4560,4781,56333,8.4870324676,118.39762923
National,NA,NA,All,2014-15,201509,190,4546,4736,56514,8.3802243692,118.77804517
National,NA,NA,All,2014-15,201510,159,4446,4605,55741,8.2614233688,117.1533959
National,NA,NA,All,2014-15,201511,139,4196,4335,54467,7.9589476197,114.47577213
National,NA,NA,All,2014-15,201512,121,3902,4023,53405,7.5330025279,112.24371841
National,NA,NA,All,2014-15,201513,99,3843,3942,53202,7.4094958836,111.81706407
National,NA,NA,All,2014-15,201514,100,3838,3938,52847,7.4517001911,111.07094442
National,NA,NA,All,2014-15,201515,75,3927,4002,52876,7.5686511839,111.13189504
National,NA,NA,All,2014-15,201516,63,3807,3870,51628,7.4959324398,108.50891666
National,NA,NA,All,2014-15,201517,50,3653,3703,51489,7.1918273806,108.21677403
National,NA,NA,All,2014-15,201518,28,3551,3579,51696,6.9231662024,108.65183535
National,NA,NA,All,2014-15,201519,22,3476,3498,50721,6.8965517241,106.60263349
National,NA,NA,All,2014-15,201520,14,3240,3254,49395,6.5877113068,103.81571895
National,NA,NA,All,2014-15,201521,18,3374,3392,49849,6.8045497402,104.76991141
National,NA,NA,All,2014-15,201522,10,3198,3208,49269,6.5111936512,103.55089902
National,NA,NA,All,2014-15,201523,11,3215,3226,49810,6.4766111223,104.68794334
National,NA,NA,All,2014-15,201524,6,3149,3155,49126,6.4222611245,103.25034942
National,NA,NA,All,2014-15,201525,4,3199,3203,49080,6.5260798696,103.15366912
National,NA,NA,All,2014-15,201526,6,3113,3119,49248,6.3332521118,103.50676237
National,NA,NA,All,2014-15,201527,7,3078,3085,48948,6.3026068481,102.87623872
National,NA,NA,All,2014-15,201528,7,3031,3038,49262,6.1670252933,103.5361868
National,NA,NA,All,2014-15,201529,3,3009,3012,48655,6.1905251259,102.26042728
National,NA,NA,All,2014-15,201530,4,2918,2922,48711,5.9986450699,102.37812503
National,NA,NA,All,2014-15,201531,4,2948,2952,48320,6.1092715232,101.55634254
National,NA,NA,All,2014-15,201532,8,2841,2849,48199,5.9109110148,101.30203134
National,NA,NA,All,2014-15,201533,6,2935,2941,48467,6.0680462995,101.86529913
National,NA,NA,All,2014-15,201534,5,2907,2912,48524,6.0011540681,101.98509862
National,NA,NA,All,2014-15,201535,3,2942,2945,48761,6.0396628453,102.48321231
National,NA,NA,All,2014-15,201536,3,2949,2952,48819,6.0468260308,102.60511355
National,NA,NA,All,2014-15,201537,6,3013,3019,48975,6.1643695763,102.93298584
National,NA,NA,All,2014-15,201538,8,3050,3058,49308,6.2018333739,103.6328671
National,NA,NA,All,2014-15,201539,6,3061,3067,48894,6.2727533031,102.76274446
National,NA,NA,All,2015-16,201540,14,3208,3222,51101,6.3051603687,107.40129678
National,NA,NA,All,2015-16,201541,7,3144,3151,50042,6.296710763,105.17554829
National,NA,NA,All,2015-16,201542,16,3227,3243,50934,6.3670632583,107.05030528
National,NA,NA,All,2015-16,201543,17,3169,3186,50489,6.3102854087,106.11502853
National,NA,NA,All,2015-16,201544,20,3353,3373,51186,6.589692494,107.57994514
National,NA,NA,All,2015-16,201545,14,3226,3240,50760,6.3829787234,106.68460156
